city,state,state_id,lat,lng
"Eclectic","Alabama","AL",32.6387,-86.0387
"Edwardsville","Alabama","AL",33.8409,-85.4523
"Elba","Alabama","AL",31.4172,-86.0759
"Elberta","Alabama","AL",30.3855,-87.5888
"Eldridge","Alabama","AL",33.9220,-87.6202
"Elkmont","Alabama","AL",34.9289,-86.9765
"Elmore","Alabama","AL",32.5552,-86.3425
"Emelle","Alabama","AL",32.7287,-88.3165
"Emerald Mountain","Alabama","AL",32.4396,-86.0857
"Enterprise","Alabama","AL",31.3275,-85.8463
"Epes","Alabama","AL",32.6906,-88.1405
"Ethelsville","Alabama","AL",33.4141,-88.2161
"Eufaula","Alabama","AL",31.9102,-85.1505
"Eutaw","Alabama","AL",32.8436,-87.8986
"Eva","Alabama","AL",34.3272,-86.7614
"Evergreen","Alabama","AL",31.4342,-86.9723
"Excel","Alabama","AL",31.4264,-87.3433
"Fairfield","Alabama","AL",33.4747,-86.9194
"Fairhope","Alabama","AL",30.5209,-87.8813
"Fairview","Alabama","AL",34.2501,-86.6846
"Falkville","Alabama","AL",34.3793,-86.9086
"Faunsdale","Alabama","AL",32.4576,-87.5938
"Fayette","Alabama","AL",33.6943,-87.8307
"Five Points","Alabama","AL",33.0173,-85.3516
"Flomaton","Alabama","AL",31.0127,-87.2541
"Florala","Alabama","AL",31.0176,-86.3138
"Florence","Alabama","AL",34.8303,-87.6655
"Foley","Alabama","AL",30.3983,-87.6650
"Forkland","Alabama","AL",32.6489,-87.8671
"Fort Deposit","Alabama","AL",31.9863,-86.5664
"Fort Payne","Alabama","AL",34.4559,-85.6965
"Fort Rucker","Alabama","AL",31.3428,-85.7154
"Franklin","Alabama","AL",32.4513,-85.7864
"Frisco City","Alabama","AL",31.4353,-87.4037
"Fruithurst","Alabama","AL",33.7295,-85.4313
"Fulton","Alabama","AL",31.7916,-87.7396
"Fultondale","Alabama","AL",33.6174,-86.8014
"Fyffe","Alabama","AL",34.4490,-85.9052
"Gadsden","Alabama","AL",34.0086,-86.0157
"Gainesville","Alabama","AL",32.8149,-88.1608
"Gantt","Alabama","AL",31.4092,-86.4842
"Garden City","Alabama","AL",34.0150,-86.7493
"Gardendale","Alabama","AL",33.6677,-86.8069
"Gaylesville","Alabama","AL",34.2665,-85.5603
"Geiger","Alabama","AL",32.8696,-88.3133
"Geneva","Alabama","AL",31.0437,-85.8763
"Georgiana","Alabama","AL",31.6391,-86.7468
"Geraldine","Alabama","AL",34.3579,-86.0037
"Gilbertown","Alabama","AL",31.8663,-88.3075
"Glen Allen","Alabama","AL",33.8922,-87.7329
"Glencoe","Alabama","AL",33.9447,-85.9322
"Glenwood","Alabama","AL",31.6675,-86.1730
"Goldville","Alabama","AL",33.0842,-85.7831
"Good Hope","Alabama","AL",34.1102,-86.8662
"Goodwater","Alabama","AL",33.0608,-86.0516
"Gordo","Alabama","AL",33.3221,-87.9040
"Gordon","Alabama","AL",31.1436,-85.0925
"Gordonville","Alabama","AL",32.1489,-86.6995
"Goshen","Alabama","AL",31.7182,-86.1242
"Grant","Alabama","AL",34.5190,-86.2492
"Graysville","Alabama","AL",33.6567,-86.9665
"Greensboro","Alabama","AL",32.7014,-87.5950
"Greenville","Alabama","AL",31.8437,-86.6380
"Grimes","Alabama","AL",31.2999,-85.4503
"Grove Hill","Alabama","AL",31.7006,-87.7748
"Gu-Win","Alabama","AL",33.9443,-87.8705
"Guin","Alabama","AL",33.9832,-87.9023
"Gulf Shores","Alabama","AL",30.2764,-87.7017
"Guntersville","Alabama","AL",34.3671,-86.2637
"Gurley","Alabama","AL",34.7072,-86.3768
"Hackleburg","Alabama","AL",34.2693,-87.8303
"Haleburg","Alabama","AL",31.4099,-85.1381
"Haleyville","Alabama","AL",34.2331,-87.6175
"Hamilton","Alabama","AL",34.1346,-87.9755
"Hammondville","Alabama","AL",34.5688,-85.6394
"Hanceville","Alabama","AL",34.0632,-86.7645
"Harpersville","Alabama","AL",33.3184,-86.4286
"Hartford","Alabama","AL",31.1055,-85.6916
"Hartselle","Alabama","AL",34.4391,-86.9396
"Hayden","Alabama","AL",33.8818,-86.7842
"Hayneville","Alabama","AL",32.1822,-86.5787
"Headland","Alabama","AL",31.3501,-85.3523
"Heath","Alabama","AL",31.3579,-86.4673
"Heflin","Alabama","AL",33.6470,-85.5698
"Helena","Alabama","AL",33.2837,-86.8791
"Henagar","Alabama","AL",34.6306,-85.7413
"Highland Lake","Alabama","AL",33.8876,-86.4244
"Highland Lakes","Alabama","AL",33.3973,-86.6495
"Hillsboro","Alabama","AL",34.6407,-87.1838
"Hobson City","Alabama","AL",33.6148,-85.8561
"Hodges","Alabama","AL",34.3340,-87.9299
"Hokes Bluff","Alabama","AL",33.9902,-85.8639
"Holly Pond","Alabama","AL",34.1696,-86.6125
"Hollywood","Alabama","AL",34.7195,-85.9641
"Homewood","Alabama","AL",33.4619,-86.8090
"Hoover","Alabama","AL",33.3763,-86.8068
"Horn Hill","Alabama","AL",31.2382,-86.3211
"Hueytown","Alabama","AL",33.4239,-87.0220
"Huntsville","Alabama","AL",34.6981,-86.6412
"Hurtsboro","Alabama","AL",32.2401,-85.4147
"Hytop","Alabama","AL",34.8965,-86.0880
"Ider","Alabama","AL",34.7026,-85.6690
"Indian Springs Village","Alabama","AL",33.3590,-86.7492
"Irondale","Alabama","AL",33.5439,-86.6606
"Jackson","Alabama","AL",31.5318,-87.8915
"Jacksons' Gap","Alabama","AL",32.8831,-85.8151
"Jacksonville","Alabama","AL",33.8088,-85.7545
"Jasper","Alabama","AL",33.8508,-87.2710
"Jemison","Alabama","AL",32.9696,-86.7339
"Kansas","Alabama","AL",33.9029,-87.5568
"Kellyton","Alabama","AL",32.9791,-86.0358
"Kennedy","Alabama","AL",33.5810,-87.9859
"Killen","Alabama","AL",34.8607,-87.5268
"Kimberly","Alabama","AL",33.7758,-86.7964
"Kinsey","Alabama","AL",31.2926,-85.3353
"Kinston","Alabama","AL",31.2200,-86.1705
"La Fayette","Alabama","AL",32.8997,-85.4007
"Lake View","Alabama","AL",33.2802,-87.1259
"Lanett","Alabama","AL",32.8577,-85.2078
"Langston","Alabama","AL",34.5374,-86.0899
"Leeds","Alabama","AL",33.5436,-86.5639
"Leesburg","Alabama","AL",34.1839,-85.7750
"Leighton","Alabama","AL",34.6941,-87.5282
"Lester","Alabama","AL",34.9871,-87.1513
"Level Plains","Alabama","AL",31.3071,-85.7687
"Lexington","Alabama","AL",34.9652,-87.3735
"Libertyville","Alabama","AL",31.2428,-86.4600
"Lincoln","Alabama","AL",33.5935,-86.1365
"Linden","Alabama","AL",32.3001,-87.7926
"Lineville","Alabama","AL",33.3129,-85.7508
"Lipscomb","Alabama","AL",33.4260,-86.9261
"Lisman","Alabama","AL",32.1792,-88.3002
"Littleville","Alabama","AL",34.5950,-87.6719
"Livingston","Alabama","AL",32.5982,-88.1891
"Loachapoka","Alabama","AL",32.6049,-85.5948
"Lockhart","Alabama","AL",31.0128,-86.3505
"Locust Fork","Alabama","AL",33.8957,-86.6302
"Lookout Mountain","Alabama","AL",34.1091,-85.9585
"Louisville","Alabama","AL",31.7810,-85.5583
"Lowndesboro","Alabama","AL",32.2764,-86.6108
"Loxley","Alabama","AL",30.6812,-87.7416
"Luverne","Alabama","AL",31.7186,-86.2687
"Lynn","Alabama","AL",34.0548,-87.5555
"Madison","Alabama","AL",34.7114,-86.7626
"Madrid","Alabama","AL",31.0356,-85.3992
"Magnolia Springs","Alabama","AL",30.4003,-87.7749
"Malvern","Alabama","AL",31.1428,-85.5210
"Maplesville","Alabama","AL",32.7867,-86.8783
"Margaret","Alabama","AL",33.6734,-86.4680
"Marion","Alabama","AL",32.6318,-87.3172
"Maytown","Alabama","AL",33.5499,-87.0001
"McIntosh","Alabama","AL",31.2649,-88.0284
"McKenzie","Alabama","AL",31.5429,-86.7246
"McMullen","Alabama","AL",33.1481,-88.1757
"Memphis","Alabama","AL",33.1369,-88.3008
"Mentone","Alabama","AL",34.5655,-85.5846
"Midfield","Alabama","AL",33.4553,-86.9224
"Midland City","Alabama","AL",31.3157,-85.4937
"Midway","Alabama","AL",32.0764,-85.5244
"Millbrook","Alabama","AL",32.5027,-86.3737
"Millport","Alabama","AL",33.5586,-88.0817
"Millry","Alabama","AL",31.6256,-88.3190
"Mobile","Alabama","AL",30.6782,-88.1162
"Monroeville","Alabama","AL",31.5162,-87.3279
"Montevallo","Alabama","AL",33.1246,-86.8477
"Montgomery","Alabama","AL",32.3482,-86.2668
"Moody","Alabama","AL",33.5986,-86.4963
"Mooresville","Alabama","AL",34.6257,-86.8802
"Morris","Alabama","AL",33.7464,-86.8042
"Morrison Crossroads","Alabama","AL",33.4198,-85.4903
"Mosses","Alabama","AL",32.1802,-86.6888
"Moulton","Alabama","AL",34.4844,-87.2833
"Moundville","Alabama","AL",32.9968,-87.6272
"Mount Vernon","Alabama","AL",31.0889,-88.0137
"Mountain Brook","Alabama","AL",33.4871,-86.7400
"Mulga","Alabama","AL",33.5521,-86.9730
"Munford","Alabama","AL",33.5258,-85.9555
"Muscle Shoals","Alabama","AL",34.7432,-87.6343
"Myrtlewood","Alabama","AL",32.2521,-87.9492
"Napier Field","Alabama","AL",31.3147,-85.4550
"Natural Bridge","Alabama","AL",34.0904,-87.6014
"Nauvoo","Alabama","AL",33.9874,-87.4875
"Nectar","Alabama","AL",33.9686,-86.6346
"Needham","Alabama","AL",31.9870,-88.3366
"New Brockton","Alabama","AL",31.3785,-85.9228
"New Hope","Alabama","AL",34.5370,-86.4128
"New Site","Alabama","AL",33.0282,-85.7801
"New Union","Alabama","AL",34.1422,-86.2218
"Newbern","Alabama","AL",32.5920,-87.5331
"Newton","Alabama","AL",31.3423,-85.5893
"Newville","Alabama","AL",31.4206,-85.3367
"North Courtland","Alabama","AL",34.6788,-87.3083
"North Johns","Alabama","AL",33.3677,-87.1008
"Northport","Alabama","AL",33.2586,-87.5993
"Notasulga","Alabama","AL",32.5573,-85.6692
"Oak Grove","Alabama","AL",33.1927,-86.3040
"Oak Hill","Alabama","AL",31.9216,-87.0852
"Oakman","Alabama","AL",33.7141,-87.3890
"Odenville","Alabama","AL",33.6978,-86.4228
"Ohatchee","Alabama","AL",33.7877,-86.0281
"Oneonta","Alabama","AL",33.9394,-86.4932
"Onycha","Alabama","AL",31.2246,-86.2785
"Opelika","Alabama","AL",32.6612,-85.3769
"Opp","Alabama","AL",31.2848,-86.2570
"Orange Beach","Alabama","AL",30.2942,-87.5849
"Orrville","Alabama","AL",32.3068,-87.2454
"Owens Cross Roads","Alabama","AL",34.5845,-86.4574
"Oxford","Alabama","AL",33.5967,-85.8687
"Ozark","Alabama","AL",31.4508,-85.6473
"Paint Rock","Alabama","AL",34.6601,-86.3310
"Parrish","Alabama","AL",33.7323,-87.2802
"Pelham","Alabama","AL",33.3114,-86.7573
"Pell City","Alabama","AL",33.5610,-86.2669
"Pennington","Alabama","AL",32.2010,-88.0378
"Perdido Beach","Alabama","AL",30.3554,-87.5036
"Petrey","Alabama","AL",31.8495,-86.2057
"Phenix City","Alabama","AL",32.4585,-85.0253
"Phil Campbell","Alabama","AL",34.3519,-87.7072
"Pickensville","Alabama","AL",33.2336,-88.2744
"Piedmont","Alabama","AL",33.9269,-85.6149
"Pike Road","Alabama","AL",32.2939,-86.0900
"Pinckard","Alabama","AL",31.3173,-85.5430
"Pine Apple","Alabama","AL",31.8722,-86.9891
"Pine Hill","Alabama","AL",31.9859,-87.5872
"Pine Ridge","Alabama","AL",34.4487,-85.7806
"Pinson","Alabama","AL",33.7055,-86.6678
"Pisgah","Alabama","AL",34.6844,-85.8460
"Pleasant Grove","Alabama","AL",33.4940,-86.9782
"Pleasant Groves","Alabama","AL",34.7350,-86.2054
"Pollard","Alabama","AL",31.0235,-87.1736
"Powell","Alabama","AL",34.5326,-85.8975
"Prattville","Alabama","AL",32.4597,-86.4573
"Priceville","Alabama","AL",34.5246,-86.8856
"Prichard","Alabama","AL",30.7735,-88.1301
"Providence","Alabama","AL",32.3424,-87.7761
"Ragland","Alabama","AL",33.7469,-86.1384
"Rainbow City","Alabama","AL",33.9336,-86.0922
"Rainsville","Alabama","AL",34.4938,-85.8436
"Ranburne","Alabama","AL",33.5259,-85.3390
"Red Bay","Alabama","AL",34.4357,-88.1361
"Red Level","Alabama","AL",31.4055,-86.6084
"Redland","Alabama","AL",32.4754,-86.1375
"Redstone Arsenal","Alabama","AL",34.6645,-86.6530
"Reece City","Alabama","AL",34.0772,-86.0345
"Reform","Alabama","AL",33.3788,-88.0173
"Rehobeth","Alabama","AL",31.1242,-85.4383
"Repton","Alabama","AL",31.4096,-87.2394
"Ridgeville","Alabama","AL",34.0569,-86.1029
"River Falls","Alabama","AL",31.3525,-86.5412
"Riverside","Alabama","AL",33.6171,-86.2042
"Riverview","Alabama","AL",31.0587,-87.0709
"Roanoke","Alabama","AL",33.1453,-85.3694
"Robertsdale","Alabama","AL",30.5535,-87.7023
"Rockford","Alabama","AL",32.8895,-86.2150
"Rogersville","Alabama","AL",34.8251,-87.2821
"Rosa","Alabama","AL",33.9899,-86.5045
"Russellville","Alabama","AL",34.5055,-87.7283
"Rutledge","Alabama","AL",31.7241,-86.3020
"Samson","Alabama","AL",31.1124,-86.0462
"Sand Rock","Alabama","AL",34.2312,-85.7704
"Sanford","Alabama","AL",31.3007,-86.3976
"Saraland","Alabama","AL",30.8479,-88.1004
"Sardis City","Alabama","AL",34.1749,-86.1125
"Satsuma","Alabama","AL",30.8578,-88.0631
"Scottsboro","Alabama","AL",34.6438,-86.0491
"Section","Alabama","AL",34.5816,-85.9849
"Selma","Alabama","AL",32.4166,-87.0336
"Selmont-West Selmont","Alabama","AL",32.3784,-87.0074
"Semmes","Alabama","AL",30.7899,-88.2389
"Sheffield","Alabama","AL",34.7570,-87.6977
"Shiloh","Alabama","AL",34.4604,-85.8767
"Shoal Creek","Alabama","AL",33.4328,-86.6071
"Shorter","Alabama","AL",32.4077,-85.9413
"Silas","Alabama","AL",31.7678,-88.3258
"Silverhill","Alabama","AL",30.5455,-87.7506
"Sipsey","Alabama","AL",33.8225,-87.0835
"Skyline","Alabama","AL",34.7986,-86.1228
"Slocomb","Alabama","AL",31.1103,-85.5954
"Smiths Station","Alabama","AL",32.5280,-85.0943
"Snead","Alabama","AL",34.1162,-86.3902
"Somerville","Alabama","AL",34.4679,-86.7909
"South Vinemont","Alabama","AL",34.2349,-86.8642
"Southside","Alabama","AL",33.9007,-86.0238
"Spanish Fort","Alabama","AL",30.7254,-87.8597
"Springville","Alabama","AL",33.7643,-86.4742
"St. Florian","Alabama","AL",34.8739,-87.6241
"Steele","Alabama","AL",33.9370,-86.2004
"Stevenson","Alabama","AL",34.8487,-85.8437
"Sulligent","Alabama","AL",33.8912,-88.1266
"Sumiton","Alabama","AL",33.7502,-87.0483
"Summerdale","Alabama","AL",30.4783,-87.6904
"Susan Moore","Alabama","AL",34.0804,-86.4228
"Sweet Water","Alabama","AL",32.1046,-87.8619
"Sylacauga","Alabama","AL",33.1780,-86.2605
"Sylvan Springs","Alabama","AL",33.5302,-87.0312
"Sylvania","Alabama","AL",34.5616,-85.8056
"Talladega","Alabama","AL",33.4333,-86.0986
"Talladega Springs","Alabama","AL",33.1191,-86.4421
"Tallassee","Alabama","AL",32.5315,-85.8903
"Tarrant","Alabama","AL",33.5945,-86.7685
"Taylor","Alabama","AL",31.1658,-85.4697
"Thomaston","Alabama","AL",32.2683,-87.6237
"Thomasville","Alabama","AL",31.9110,-87.7419
"Thorsby","Alabama","AL",32.9169,-86.7203
"Tidmore Bend","Alabama","AL",34.0324,-85.9253
"Town Creek","Alabama","AL",34.6718,-87.4063
"Toxey","Alabama","AL",31.9109,-88.3092
"Trafford","Alabama","AL",33.8187,-86.7465
"Triana","Alabama","AL",34.5888,-86.7489
"Trinity","Alabama","AL",34.6011,-87.0816
"Troy","Alabama","AL",31.8021,-85.9664
"Trussville","Alabama","AL",33.6405,-86.5815
"Tuscaloosa","Alabama","AL",33.2348,-87.5268
"Tuscumbia","Alabama","AL",34.7204,-87.7035
"Tuskegee","Alabama","AL",32.4409,-85.7131
"Twin","Alabama","AL",33.9978,-87.8497
"Underwood-Petersville","Alabama","AL",34.8770,-87.6975
"Union","Alabama","AL",32.9938,-87.9071
"Union Grove","Alabama","AL",34.4025,-86.4483
"Union Springs","Alabama","AL",32.1395,-85.7141
"Uniontown","Alabama","AL",32.4490,-87.4958
"Valley","Alabama","AL",32.8088,-85.1810
"Valley Grande","Alabama","AL",32.4862,-87.0305
"Valley Head","Alabama","AL",34.5558,-85.6224
"Vance","Alabama","AL",33.1746,-87.2314
"Vernon","Alabama","AL",33.7588,-88.1143
"Vestavia Hills","Alabama","AL",33.4518,-86.7437
"Vina","Alabama","AL",34.3757,-88.0602
"Vincent","Alabama","AL",33.3849,-86.4087
"Vredenburgh","Alabama","AL",31.8237,-87.3178
"Wadley","Alabama","AL",33.1239,-85.5683
"Waldo","Alabama","AL",33.3892,-86.0360
"Walnut Grove","Alabama","AL",34.0641,-86.2863
"Warrior","Alabama","AL",33.8149,-86.8157
"Waterloo","Alabama","AL",34.9173,-88.0654
"Waverly","Alabama","AL",32.7333,-85.5764
"Weaver","Alabama","AL",33.7601,-85.8117
"Webb","Alabama","AL",31.2572,-85.2896
"Wedowee","Alabama","AL",33.3078,-85.4864
"West Blocton","Alabama","AL",33.1186,-87.1253
"West End-Cobb Town","Alabama","AL",33.6526,-85.8741
"West Jefferson","Alabama","AL",33.6526,-87.0562
"West Point","Alabama","AL",34.2394,-86.9630
"Westover","Alabama","AL",33.3684,-86.5346
"Wetumpka","Alabama","AL",32.5406,-86.2053
"White Hall","Alabama","AL",32.2993,-86.7148
"Wilsonville","Alabama","AL",33.2346,-86.4884
"Wilton","Alabama","AL",33.0813,-86.8799
"Winfield","Alabama","AL",33.9334,-87.7961
"Woodland","Alabama","AL",33.3756,-85.3974
"Woodstock","Alabama","AL",33.2193,-87.1490
"Woodville","Alabama","AL",34.6256,-86.2792
"Yellow Bluff","Alabama","AL",31.9623,-87.4773
"York","Alabama","AL",32.4998,-88.2938
"Adak","Alaska","AK",51.8815,-176.6295
"Akhiok","Alaska","AK",56.9450,-154.2150
"Akiak","Alaska","AK",60.9061,-161.2122
"Akutan","Alaska","AK",54.1594,-165.7328
"Alakanuk","Alaska","AK",62.6902,-164.6305
"Alcan Border","Alaska","AK",62.6727,-141.1321
"Aleknagik","Alaska","AK",59.2946,-158.6896
"Allakaket","Alaska","AK",66.5506,-152.6270
"Ambler","Alaska","AK",67.0897,-157.8725
"Anaktuvuk Pass","Alaska","AK",68.1500,-151.7162
"Anchorage","Alaska","AK",61.1508,-149.1091
"Anderson","Alaska","AK",64.3074,-149.1562
"Angoon","Alaska","AK",57.4550,-134.4978
"Aniak","Alaska","AK",61.5817,-159.5451
"Anvik","Alaska","AK",62.6541,-160.2140
"Atka","Alaska","AK",52.2301,-174.2133
"Atqasuk","Alaska","AK",70.4810,-157.3835
"Attu Station","Alaska","AK",52.8955,173.1230
"Bethel","Alaska","AK",60.7928,-161.7917
"Bettles","Alaska","AK",66.9088,-151.5362
"Brevig Mission","Alaska","AK",65.3413,-166.4953
"Buckland","Alaska","AK",65.9784,-161.1341
"Buffalo Soapstone","Alaska","AK",61.7071,-149.1093
"Chefornak","Alaska","AK",60.1550,-164.2550
"Chena Ridge","Alaska","AK",64.7941,-148.0357
"Chevak","Alaska","AK",61.5295,-165.5941
"Chignik","Alaska","AK",56.3003,-158.4132
"Chuathbaluk","Alaska","AK",61.5746,-159.2489
"Clark's Point","Alaska","AK",58.8329,-158.5276
"Coffman Cove","Alaska","AK",56.0057,-132.8395
"Cold Bay","Alaska","AK",55.2122,-162.7475
"Cordova","Alaska","AK",60.5347,-145.6087
"Craig","Alaska","AK",55.4918,-133.1165
"Deering","Alaska","AK",66.0722,-162.7435
"Delta Junction","Alaska","AK",64.0603,-145.7058
"Deltana","Alaska","AK",63.8723,-145.2158
"Dillingham","Alaska","AK",59.0550,-158.5378
"Diomede","Alaska","AK",65.7536,-168.9219
"Eagle","Alaska","AK",64.7813,-141.1979
"Edna Bay","Alaska","AK",55.9640,-133.6662
"Eek","Alaska","AK",60.2164,-162.0331
"Egegik","Alaska","AK",58.2181,-157.4036
"Eielson AFB","Alaska","AK",64.6741,-147.0605
"Ekwok","Alaska","AK",59.3462,-157.4861
"Elim","Alaska","AK",64.6186,-162.2763
"Emmonak","Alaska","AK",62.7762,-164.5157
"Fairbanks","Alaska","AK",64.8353,-147.6533
"False Pass","Alaska","AK",54.8416,-163.3480
"Farm Loop","Alaska","AK",61.6343,-149.1614
"Farmers Loop","Alaska","AK",64.9061,-147.6957
"Fishhook","Alaska","AK",61.7199,-149.2621
"Fort Greely","Alaska","AK",63.9678,-145.7149
"Fort Yukon","Alaska","AK",66.5806,-145.2415
"Four Mile Road","Alaska","AK",64.6045,-149.1223
"Galena","Alaska","AK",64.7381,-156.8635
"Gambell","Alaska","AK",63.7538,-171.6881
"Glacier View","Alaska","AK",61.8511,-147.7764
"Goldstream","Alaska","AK",64.9339,-148.0083
"Golovin","Alaska","AK",64.5640,-162.9989
"Goodnews Bay","Alaska","AK",59.1271,-161.5753
"Grayling","Alaska","AK",62.8998,-160.1078
"Gustavus","Alaska","AK",58.4275,-135.7492
"Harding-Birch Lakes","Alaska","AK",64.3711,-146.5999
"Holy Cross","Alaska","AK",62.1868,-159.8198
